Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Germany,DEU,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,76.875,76.875,79.375,79.375,79.375,79.375,79.375,91.25,91.25,94.375,94.375,94.375,94.375,94.375,94.375,94.375,94.375,94.375,97.5,97.5,97.5,97.5
Germany,DEU,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,30.9417040358744,31.0810810810811,32.1724709784411,32.1724709784411,32.75,31.7589576547231,31.5960912052117,31.6476345840131,32.1895424836601,32.7974276527331,32.7974276527331,32.9032258064516,32.9032258064516,36.4500792393027,36.4500792393027,36.4500792393027,36.4500792393027,30.7475317348378,30.7475317348378,30.8885754583921,31.1706629055007,34.9184782608696
India,IND,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,60,60,60,60,60,60,60,60,60,60,60,60,60,66.25,66.25,66.25,66.25,68.75,71.875,71.875,74.375,74.375
India,IND,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,9.00735294117647,8.83977900552486,8.83977900552486,8.83977900552486,8.25688073394496,8.28729281767956,8.25688073394496,9.05730129390018,9.05730129390018,10.8256880733945,10.8256880733945,11.0091743119266,11.0091743119266,11.0091743119266,11.4180478821363,11.9705340699816,11.9705340699816,11.8081180811808,11.8081180811808,14.3911439114391,14.3646408839779,14.4444444444444
Indonesia,IDN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,50,50,50,59.375,61.875,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375
Indonesia,IDN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,8,8,8,8,11.2727272727273,11.2727272727273,11.2727272727273,11.6363636363636,11.6363636363636,17.8571428571429,18.0357142857143,18.2142857142857,18.5714285714286,18.5714285714286,16.9369369369369,17.1171171171171,17.1171171171171,19.8214285714286,19.8214285714286,17.3913043478261,20.3478260869565,21.0434782608696
Italy,ITA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,76.875,80,80,80,80,83.125,89.375,89.375,89.375,89.375,89.375,89.375,89.375,91.875,94.375,94.375,94.375,94.375,97.5,97.5,97.5,97.5
Italy,ITA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,11.1111111111111,9.84126984126984,9.84126984126984,11.4886731391586,11.525974025974,11.525974025974,17.3015873015873,17.3015873015873,21.2698412698413,21.2698412698413,21.2698412698413,21.5873015873016,21.4285714285714,31.4285714285714,31.4285714285714,30.952380952381,30.952380952381,30.952380952381,35.7142857142857,35.7142857142857,35.7142857142857,35.7142857142857
Japan,JPN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,73.75,76.25,76.25,76.25,76.25,76.25,76.25,76.25,76.25,76.25,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75
Japan,JPN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,7.29166666666667,7.29166666666667,7.29166666666667,7.08333333333333,7.08333333333333,8.95833333333333,9.375,9.375,9.375,11.25,11.25,10.8333333333333,7.91666666666667,8.125,8.125,9.47368421052632,9.47368421052632,10.1075268817204,10.1075268817204,10.1075268817204,9.89247311827957,9.67741935483871
"Korea, Rep.",KOR,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,66.25,66.25,71.25,71.25,71.25,76.25,79.375,79.375,85,85,85,85,85,85,85,85,85,85,85,85,85,85
"Korea, Rep.",KOR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,5.86080586080586,5.86080586080586,5.86080586080586,5.86080586080586,13.0434782608696,13.3779264214047,13.3779264214047,14.38127090301,13.7123745819398,14.7157190635452,14.7157190635452,14.7157190635452,15.6666666666667,15.6666666666667,16.3333333333333,16.3333333333333,17,17,17,16.6666666666667,19,19
Mexico,MEX,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,72.5,72.5,72.5,72.5,72.5,72.5,72.5,75,75,77.5,77.5,77.5,77.5,85.625,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75
Mexico,MEX,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,16,16,16,22.6,22.6,24.2,22.6,23.2,23.2,27.6,26.2,26.2,36.8,36.8,37.4,42.3694779116466,42.4,42.6,48.2,48.2,48.2,50
Netherlands,NLD,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,89.375,89.375,89.375,89.375,89.375,89.375,89.375,92.5,92.5,95,95,95,95,95,95,97.5,97.5,97.5,97.5,97.5,97.5,97.5
Netherlands,NLD,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,36,36,34,36.6666666666667,36.6666666666667,36.6666666666667,36.6666666666667,39.3333333333333,41.3333333333333,42,40.6666666666667,40.6666666666667,38.6666666666667,38.6666666666667,38.6666666666667,37.3333333333333,37.3333333333333,36,36,31.3333333333333,33.3333333333333,39.3333333333333
Russian Federation,RUS,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,70,70,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125
Russian Federation,RUS,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,7.70975056689342,7.57238307349666,7.57238307349666,7.57238307349666,9.84340044742729,9.84340044742729,9.84340044742729,14,14,14,14,13.5555555555556,13.5555555555556,13.5555555555556,13.5555555555556,13.5555555555556,12.6666666666667,15.7777777777778,15.7777777777778,15.7777777777778,15.7777777777778,16.2222222222222
Saudi Arabia,SAU,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,23.75,23.75,23.75,23.75,23.75,23.75,26.25,26.25,26.25,26.25,26.25,29.375,29.375,29.375,31.875,31.875,31.875,31.875,38.125,70.625,80,80
Saudi Arabia,SAU,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,0,0,0,0,0,0,0,0,0,0,19.8675496688742,19.8675496688742,19.8675496688742,19.8675496688742,19.8675496688742,19.8675496688742,19.8675496688742,19.8675496688742,19.8675496688742
Spain,ESP,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,94.375,94.375,94.375,94.375,94.375,94.375,94.375,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,100
Spain,ESP,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,28.2857142857143,28.2857142857143,28.2857142857143,28.2857142857143,36,36,36,36.5714285714286,36.2857142857143,36.5714285714286,36.5714285714286,36,36,36,39.7142857142857,41.1428571428571,39.1428571428571,39.1428571428571,39.1428571428571,44,44,43.4285714285714
Switzerland,CHE,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,78.125,78.125,78.125,78.125,78.125,83.125,83.125,85.625,85.625,85.625,85.625,85.625,85.625,85.625,85.625,85.625,85.625,85.625,85.625,85.625,85.625,88.125
Switzerland,CHE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,23,23,23,25,25,25,25,28.5,28.5,29,29,28.5,29,31,31,32,32,32.5,32.5,41.5,41.5,42.5
Turkiye,TUR,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,48.75,48.75,56.875,65.625,68.125,74.375,76.875,76.875,80,80,80,80,80,80,80,82.5,82.5,82.5,82.5,82.5,82.5,82.5
Turkiye,TUR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,4.18181818181818,4.18181818181818,,4.36363636363636,4.36363636363636,4.36363636363636,4.36363636363636,9.10746812386157,9.10746812386157,9.10746812386157,9.10746812386157,14.1818181818182,14.1818181818182,14.4160583941606,14.4160583941606,14.9090909090909,14.9090909090909,14.5719489981785,17.4496644295302,17.4496644295302,17.3174872665535,17.3333333333333
United Kingdom,GBR,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,86.25,86.25,86.25,88.75,88.75,88.75,91.875,91.875,91.875,91.875,95,95,95,95,95,97.5,97.5,97.5,97.5,97.5,97.5,97.5
United Kingdom,GBR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,18.361153262519,17.9059180576631,17.9059180576631,17.9059180576631,18.0576631259484,19.6594427244582,19.6594427244582,19.5046439628483,19.5046439628483,19.5046439628483,22,22.3076923076923,22.4615384615385,22.4615384615385,22.6153846153846,29.3846153846154,29.5839753466872,32,32.1538461538462,32,33.8461538461538,34.2592592592593
United States,USA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,83.75,83.75,83.75,83.75,83.75,83.75,83.75,83.75,83.75,83.75,83.75,83.75,83.75,83.75,83.75,83.75,83.75,83.75,91.25,91.25,91.25,91.25
United States,USA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,14.0229885057471,13.7931034482759,14.2528735632184,14.9425287356322,15.1724137931034,16.3218390804598,16.7816091954023,17.0114942528736,16.7816091954023,16.7816091954023,16.8202764976959,17.9723502304147,17.8240740740741,19.3103448275862,19.3548387096774,19.1685912240185,19.3548387096774,23.5023041474654,23.4338747099768,27.4647887323944,27.6497695852535
Afghanistan,AFG,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,26.25,26.25,26.25,26.25,26.25,26.25,26.25,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,38.125,38.125,38.125,38.125,38.125,38.125
Afghanistan,AFG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,27.3092369477912,27.3092369477912,27.6859504132231,27.6859504132231,27.3092369477912,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,,27.8688524590164,27.0161290322581,27.0161290322581
Albania,ALB,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,80,80,80,80,80,80,80,82.5,82.5,82.5,85.625,85.625,85.625,85.625,85.625,85.625,91.25,91.25,91.25,91.25,91.25,91.25
Albania,ALB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,5.16129032258065,5.71428571428571,5.71428571428571,5.71428571428571,6.42857142857143,7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,16.4285714285714,16.4285714285714,15.7142857142857,15.7142857142857,17.8571428571429,20,20.7142857142857,22.8571428571429,27.8571428571429,27.8571428571429,29.5081967213115,29.5081967213115,35.7142857142857
Algeria,DZA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,40.625,40.625,40.625,40.625,40.625,55,55,55,55,55,55,55,55,55,55,55,57.5,57.5,57.5,57.5,57.5,57.5
Algeria,DZA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,3.42105263157895,3.42105263157895,6.16966580976864,6.16966580976864,6.16966580976864,6.16966580976864,6.16966580976864,7.7120822622108,7.7120822622108,7.7120822622108,7.7120822622108,7.96915167095116,31.6017316017316,31.6017316017316,31.6017316017316,31.6017316017316,31.6017316017316,25.7575757575758,25.7575757575758,25.7575757575758,25.7575757575758,8.10810810810811
American Samoa,ASM,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,7.14285714285714,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,28.5714285714286,28.5714285714286,28.5714285714286,25,35.7142857142857,35.7142857142857,50,50,50,50,39.2857142857143,32.1428571428571,32.1428571428571,32.1428571428571,46.4285714285714,46.4285714285714,46.4285714285714
Angola,AGO,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,65,70.625,70.625,70.625,70.625,73.125,73.125,73.125,73.125,73.125,79.375
Angola,AGO,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,15.4545454545455,15.4545454545455,15.4545454545455,15.4545454545455,15,15,15,15,37.2727272727273,38.6363636363636,38.6363636363636,38.1818181818182,34.0909090909091,34.0909090909091,36.8181818181818,36.8181818181818,36.8181818181818,30.4545454545455,30.4545454545455,30,30,29.5454545454545
Antigua and Barbuda,ATG,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25
Antigua and Barbuda,ATG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,5.26315789473684,5.26315789473684,5.26315789473684,5.26315789473684,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111
Armenia,ARM,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,58.75,58.75,58.75,61.875,61.875,76.875,79.375,79.375,79.375,79.375,79.375,82.5,82.5,82.5,82.5,82.5,82.5,82.5,85,85,85,87.5
Armenia,ARM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,3.05343511450382,3.05343511450382,3.05343511450382,4.58015267175572,5.34351145038168,5.34351145038168,5.34351145038168,9.16030534351145,8.3969465648855,9.16030534351145,9.16030534351145,8.3969465648855,10.6870229007634,10.6870229007634,10.6870229007634,10.6870229007634,10.6870229007634,18.0952380952381,18.0952380952381,23.4848484848485,23.4848484848485,33.6448598130841
Aruba,ABW,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,78.75,78.75,78.75,81.875,81.875,85,85,85,85,91.25,91.25,91.25,91.25,91.25,94.375,94.375,94.375,94.375,94.375,94.375,96.875,96.875
Austria,AUT,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,26.775956284153,26.775956284153,,33.879781420765,33.879781420765,33.879781420765,32.2404371584699,32.7868852459016,27.3224043715847,27.8688524590164,27.8688524590164,27.8688524590164,27.8688524590164,33.3333333333333,32.2404371584699,30.6010928961749,30.6010928961749,34.4262295081967,34.4262295081967,39.344262295082,39.344262295082,40.4371584699454
Azerbaijan,AZE,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,66.875,66.875,66.875,66.875,66.875,66.875,66.875,76.25,76.25,76.25,76.25,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75
Azerbaijan,AZE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,10.4838709677419,10.4838709677419,10.4838709677419,10.4838709677419,13.0434782608696,11.2903225806452,11.3821138211382,11.3821138211382,11.3821138211382,16,16,16,15.5737704918033,15.5737704918033,16.9354838709677,16.8,16.8,16.8,16.8067226890756,17.3553719008264,18.1818181818182
"Bahamas, The",BHS,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,73.125,73.125,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25
"Bahamas, The",BHS,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,15,15,,20,20,20,20,12.1951219512195,12.1951219512195,12.1951219512195,12.1951219512195,12.1951219512195,13.1578947368421,13.1578947368421,13.1578947368421,13.1578947368421,13.1578947368421,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,17.9487179487179
Bahrain,BHR,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,28.75,28.75,28.75,28.75,28.75,28.75,31.875,31.875,31.875,31.875,31.875,31.875,31.875,35,35,35,37.5,37.5,40,46.25,55.625,65
Bahrain,BHR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,0,0,0,2.5,2.5,2.5,2.5,2.5,10,10,10,7.5,7.5,7.5,7.5,15,15,15,15
Bangladesh,BGD,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,38.125,38.125,38.125,38.125,38.125,38.125,38.125,43.75,43.75,46.875,46.875,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375
Bangladesh,BGD,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,9.09090909090909,,2,2,2,14.7826086956522,15.0724637681159,,6.33333333333333,18.5507246376812,18.5507246376812,19.7142857142857,19.7142857142857,19.7142857142857,19.8275862068966,20,20,20.2857142857143,20.2857142857143,20.6303724928367,20.9169054441261,20.8571428571429
Barbados,BRB,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,76.875,76.875,80,80
Barbados,BRB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,10.7142857142857,10.7142857142857,10.7142857142857,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,10,10,10,10,10,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,20,20,20,20
Belarus,BLR,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,75.625,75.625,75.625,75.625,75.625,75.625,75.625,75.625
Belarus,BLR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,10.3092783505155,10.3092783505155,10.3092783505155,29.3577981651376,29.0909090909091,29.0909090909091,29.0909090909091,31.8181818181818,31.8181818181818,31.8181818181818,31.8181818181818,26.605504587156,26.605504587156,26.605504587156,27.2727272727273,34.5454545454545,34.5454545454545,34.5454545454545,40,40,40
Belgium,BEL,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,75.625,75.625,75.625,84.375,84.375,84.375,84.375,87.5,87.5,93.75,93.75,100,100,100,100,100,100,100,100,100,100,100
Belgium,BEL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,23.3333333333333,23.3333333333333,23.3333333333333,35.3333333333333,34.6666666666667,34.6666666666667,34.6666666666667,35.3333333333333,35.3333333333333,38,39.3333333333333,38,38,38,39.3333333333333,39.3333333333333,39.3333333333333,38,38,42,41.3333333333333,42
Belize,BLZ,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,71.875,74.375,76.875,76.875,76.875,76.875,76.875,76.875,76.875,76.875,76.875,76.875,79.375,79.375,79.375,79.375,79.375,79.375,79.375,79.375,79.375,79.375
Belize,BLZ,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,6.89655172413793,6.89655172413793,6.89655172413793,3.33333333333333,6.66666666666667,6.66666666666667,6.66666666666667,3.33333333333333,0,0,0,0,3.125,3.125,3.125,3.125,3.125,9.375,9.375,9.375,9.67741935483871,12.5
Benin,BEN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,49.375,49.375,49.375,46.875,46.875,65.625,65.625,71.875,71.875,71.875,71.875,71.875,74.375,74.375,74.375,74.375,74.375,74.375,74.375,74.375,77.5,80.625
Benin,BEN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,6.02409638554217,6.02409638554217,6.02409638554217,6.02409638554217,7.2289156626506,7.2289156626506,7.2289156626506,10.8433734939759,10.8433734939759,10.8433734939759,10.8433734939759,8.43373493975904,8.43373493975904,8.43373493975904,8.43373493975904,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,8.43373493975904
Bermuda,BMU,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,55,51.875,51.875,51.875,51.875,51.875,51.875,66.875,66.875,66.875,69.375,69.375,69.375,71.875,71.875,71.875,71.875,71.875,71.875,71.875,71.875,71.875
Bhutan,BTN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,9.33333333333333,9.33333333333333,9.33333333333333,9.33333333333333,9.21052631578947,9.33333333333333,2.66666666666667,2.66666666666667,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,6.38297872340426,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,14.8936170212766,14.8936170212766,14.8936170212766,17.0212765957447
Bolivia,BOL,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,61.875,65,65,68.125,68.125,76.875,76.875,88.75,88.75,88.75,88.75,88.75,88.75,88.75
Bolivia,BOL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,11.5384615384615,11.5384615384615,18.4615384615385,18.4615384615385,19.2307692307692,16.9230769230769,16.9230769230769,16.9230769230769,16.9230769230769,22.3076923076923,25.3846153846154,25.3846153846154,25.3846153846154,25.3846153846154,53.0769230769231,53.0769230769231,53.0769230769231,53.0769230769231,53.0769230769231,53.0769230769231,46.1538461538462,46.1538461538462
Bosnia and Herzegovina,BIH,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,66.875,66.875,66.875,76.25,76.25,78.75,78.75,78.75,78.75,78.75,81.875,81.875,81.875,81.875,81.875,81.875,85,88.125,85,85,85,85
Bosnia and Herzegovina,BIH,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,7.14285714285714,,16.6666666666667,16.6666666666667,16.6666666666667,14.2857142857143,11.9047619047619,11.9047619047619,19.047619047619,16.6666666666667,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,26.1904761904762,26.1904761904762
Botswana,BWA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,38.125,38.125,38.125,38.125,38.125,61.25,61.25,61.25,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75
Botswana,BWA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,17.0212765957447,17.0212765957447,17.0212765957447,17.0212765957447,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,7.93650793650794,7.93650793650794,7.93650793650794,7.93650793650794,7.93650793650794,9.52380952380952,9.52380952380952,9.52380952380952,9.52380952380952,9.52380952380952,10.7692307692308,10.7692307692308,10.7692307692308
British Virgin Islands,VGB,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,VGB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,53.125,53.125,53.125,53.125,53.125,53.125,53.125,53.125,53.125,53.125,53.125,53.125
Brunei Darussalam,BRN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,6.45161290322581,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909
